"Navigate","Open Declaration","F3","JavaScript View"
"Task Repositories","Mark Task Read and Go To Next Unread Task","⇧⌥↓","In Tasks View"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text"
"Window","Next Editor","⌘F6","In Windows"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Navigate","Open Type","⇧⌘T","Editing JavaScript Source"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Terminal view commands","Terminal view insert","⌥H","Terminal widget context"
"Navigate","Go To Next Unread Task","⌥↓","In Tasks View"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Run/Debug","Debug","⌘F11","In Windows"
"Navigate","Open Plug-in Artifact","⇧⌘A","In Windows"
"Views","JavaScript Type Hierarchy","⌥⌘Q T","JavaScript View"
"Task Repositories","Open Selected Task","⌘↩","In Tasks View"
"Focused UI","Make Less Interesting","⇧⌥⌘↓","In Windows"
"Terminal view commands","Terminal view insert","⌥T","Terminal widget context"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"Database Tools","Execute Selected Text As One Statement","⌥C","Editing SQL"
"ASA 9.x table schema editor","Copy","⌥C","In Windows"
"Run/Debug","Run to Line","⌘R","Debugging"
"Run/Debug","Step Return","F7","Debugging"
"Edit","Format","⇧⌘F","Editing in Structured Text Editors"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing JavaScript Source"
"Run/Debug","Debug OSGi Framework","⌃⌥⌘D O","In Windows"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"Run/Debug","Resume","F8","Debugging"
"Source","Format","⇧⌘F","Editing JavaScript Source"
"Navigate","Show In...","⌥⌘W","In Windows"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source"
"Navigate","Matching Character","⇧⌘P","Editing in Structured Text Editors"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks Editor"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Navigate","Backward History","⌘[","In Windows"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks View"
"Git","Paste Repository Path or URI","⌘V","In Git Repositories View"
"File","Properties","⌘I","In Windows"
"Focused UI","Make Landmark","⇧⌥⌘↑","In Windows"
"Refactor - JavaScript","Extract Local Variable","⌥⌘L","JavaScript View"
"Source","Organize Imports","⇧⌘O","In Windows"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"Text Editing","Select Previous Word","⇧⌥←","Editing Text"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Navigate","Open Type","⇧⌘T","In Windows"
"Edit","Word Completion","⌥⌘/","Editing Text"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks View"
"Web Page Editor Layout","Source Code","⇧⌘F12","Using Web Page Editor"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Task Repositories","New Local Task","⌥N","In Tasks View"
"Edit","Add Maven Dependency","⇧⌃D","Editing XML Source"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Edit","Word Completion","⌃.","Editing Text"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"Edit","Undo","⌘Z","In Dialogs and Windows"
"Source","Toggle Comment","⇧⌘C","Editing JavaScript Source"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
"Edit","Cut","⌘X","In Dialogs and Windows"
"Navigate","Next Page","⌥F7","In Windows"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","⌥E","Terminal widget context"
"Text Editing","Text Start","↖","Editing Text"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows"
"Views","Show View (Task List)","⌥⌘Q K","In Windows"
"Refactor - JavaScript","Change Function Signature","⌥⌘C","JavaScript View"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"Navigate","Forward History","⌥⌘→","In Windows"
"Run/Debug","Debug JUnit Plug-in Test","⌃⌥⌘D P","In Windows"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Edit","Select Enclosing Element","⇧⌃↑","Editing JavaScript Source"
"Edit","Select Enclosing Element","⇧⌃↑","Editing XML Source"
"Navigate","Go to Next Member","⌃⌥↓","Editing JavaScript Source"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing JavaScript Source"
"Refactor - JavaScript","Move - Refactoring ","⌥⌘V","JavaScript View"
"Edit","Add Maven Plugin","⇧⌃P","Editing XML Source"
"Edit","Quick Diff Toggle","⇧⌃Q","Editing Text"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"Edit","Select All","⌘A","In Dialogs and Windows"
"Database Tools","Debug","⌥⌘D","Editing SQL"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"Task Editor","Submit Task","⇧⌥S","In Tasks Editor"
"Search","References in Workspace","⇧⌘G","In Windows"
"Search","Declaration in Workspace","⌘G","In Windows"
"Refactor - JavaScript","Show Refactor Quick Menu","⌥⌘T","JavaScript View"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"Window","Next View","⌘F7","In Windows"
"File","Close","⌘W","In Windows"
"JavaScript Debug","JavaScript Breakpoint Properties","⌘↩","In Breakpoints View"
"Navigate","Previous Page","⇧⌥F7","In Windows"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
"Views","Documentation","⌥⌘Q J","JavaScript View"
"Terminal view commands","Terminal view insert","⌥P","Terminal widget context"
"View","Zoom In","⌘=","In Windows"
"Edit","Select Next Element","⇧⌃→","Editing in Structured Text Editors"
"Git","Commit...","⌥⌘3","In Windows"
"Edit","Restore Last Selection","⇧⌥↓","Editing in Structured Text Editors"
"Run/Debug","Debug Eclipse Application","⌃⌥⌘D E","In Windows"
"Edit","Remove Block Comment","⇧⌘\","Editing in Structured Text Editors"
"Navigate","Quick Outline","⌘R","Editing Java Source"
"Edit","Toggle Comment","⌘/","Editing SQL"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows"
"Edit","Context Information","⌥?","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing JavaScript Source"
"Edit","Add Block Comment","⌘/","Editing in Structured Text Editors"
"ASA 9.x table schema editor","Paste","⌥V","In Windows"
"Edit","Select Next Element","⇧⌃→","Editing Java Source"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","JavaScript View"
"ASA 9.x table schema editor","Cut","⌥X","In Windows"
"Navigate","Quick Outline","⌘R","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","⌥G","Terminal widget context"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Uncategorized","Add Artifact to Target Platform","⇧⌥⌘A","In Windows"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Edit","Select Enclosing Element","⇧⌃↑","Editing Java Source"
"Edit","Next Sibling","⇧⌃↓","Editing in Structured Text Editors"
"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors"
"Source","Toggle Comment","⌘/","Editing Properties Files"
"Edit","Select Next Element","⇧⌃→","Editing JavaScript Source"
"Edit","Previous Sibling","⇧⌃↑","Editing in Structured Text Editors"
"Text Editing","Text Start","⌘↖","Editing Text"
